cohort_year,year,event_time,ring,reference_ring,att,se,n_exposed,n_reference,exposed_delta_mean,reference_delta_mean
2019,2013,-6,0_5km,gt_50km,1187.4412509606052,320.7543925834177,358,276559,-251.3121214175592,-1438.7533723781644
2019,2013,-6,5_10km,gt_50km,1447.8966672837157,396.53423480279724,1278,276559,9.143294905551338,-1438.7533723781644
2019,2013,-6,10_25km,gt_50km,672.79104597016,110.95928241071375,9508,276559,-765.9623264080044,-1438.7533723781644
2019,2013,-6,25_50km,gt_50km,597.1320797518225,77.71816101089813,32509,276559,-841.6212926263419,-1438.7533723781644
2019,2014,-5,0_5km,gt_50km,838.6657893698057,328.7362303885297,358,271214,-189.83691446833137,-1028.502703838137
2019,2014,-5,5_10km,gt_50km,490.1525795625131,272.1756831032526,1278,271214,-538.3501242756239,-1028.502703838137
2019,2014,-5,10_25km,gt_50km,453.64854920986147,118.68307862648923,9508,271214,-574.8541546282755,-1028.502703838137
2019,2014,-5,25_50km,gt_50km,684.591352496851,84.88579136433754,32509,271214,-343.91135134128604,-1028.502703838137
2019,2015,-4,0_5km,gt_50km,1321.986125015513,278.7143305766386,358,271214,-217.26310920293295,-1539.249234218446
2019,2015,-4,5_10km,gt_50km,685.5267266508284,296.50116175711423,1278,271214,-853.7225075676175,-1539.249234218446
2019,2015,-4,10_25km,gt_50km,443.4213904595265,101.83432028020651,9508,271214,-1095.8278437589195,-1539.249234218446
2019,2015,-4,25_50km,gt_50km,669.6793634791472,81.86660901549268,32509,271214,-869.5698707392987,-1539.249234218446
2019,2016,-3,0_5km,gt_50km,1886.539682928029,351.5790194161627,358,271214,1124.6817987340685,-761.8578841939604
2019,2016,-3,5_10km,gt_50km,1526.0976938815897,369.83959793478823,1278,271214,764.2398096876294,-761.8578841939604
2019,2016,-3,10_25km,gt_50km,738.3172332197701,137.1911909279732,9508,271214,-23.54065097419041,-761.8578841939604
2019,2016,-3,25_50km,gt_50km,744.2700615094178,92.27362180716592,32509,271214,-17.58782268454268,-761.8578841939604
2019,2017,-2,0_5km,gt_50km,4378.045922008319,683.325565138039,358,271214,4704.821210864758,326.77528885643846
2019,2017,-2,5_10km,gt_50km,3758.7091578587933,477.2072658649941,1278,271214,4085.484446715232,326.77528885643846
2019,2017,-2,10_25km,gt_50km,1865.7335966391868,160.60274182416208,9508,271214,2192.5088854956252,326.77528885643846
2019,2017,-2,25_50km,gt_50km,1005.4159575469866,90.32980806825537,32509,271214,1332.191246403425,326.77528885643846
2019,2018,-1,0_5km,gt_50km,0.0,0.0,358,207960,0.0,0.0
2019,2018,-1,5_10km,gt_50km,0.0,0.0,1278,207960,0.0,0.0
2019,2018,-1,10_25km,gt_50km,0.0,0.0,9508,207960,0.0,0.0
2019,2018,-1,25_50km,gt_50km,0.0,0.0,32509,207960,0.0,0.0
2019,2019,0,0_5km,gt_50km,1191.7644895074436,325.7263195346288,358,207960,433.0450376973825,-758.7194518100611
2019,2019,0,5_10km,gt_50km,7.0521954348587315,267.9836381025516,1278,207960,-751.6672563752023,-758.7194518100611
2019,2019,0,10_25km,gt_50km,711.5552046738422,126.5074395156059,9508,207960,-47.16424713621886,-758.7194518100611
2019,2019,0,25_50km,gt_50km,402.11663684921285,76.99071179708092,32509,207960,-356.6028149608482,-758.7194518100611
2019,2020,1,0_5km,gt_50km,-225.24704987102916,253.6294059707846,358,185173,98.6912413226981,323.93829119372725
2019,2020,1,5_10km,gt_50km,-454.9076555860197,306.0800367390935,1278,185173,-130.96936439229242,323.93829119372725
2019,2020,1,10_25km,gt_50km,-524.2078316126195,124.09964965459106,9495,185173,-200.2695404188923,323.93829119372725
2019,2020,1,25_50km,gt_50km,-828.1510115327851,79.12019724014486,31820,185173,-504.21272033905785,323.93829119372725
2019,2021,2,0_5km,gt_50km,897.3962106808928,369.3961951443982,358,182280,686.936082104313,-210.46012857657976
2019,2021,2,5_10km,gt_50km,-239.44221615724203,262.49531781952993,1278,182280,-449.9023447338218,-210.46012857657976
2019,2021,2,10_25km,gt_50km,93.78331911907371,136.3647382647787,9490,182280,-116.67680945750605,-210.46012857657976
2019,2021,2,25_50km,gt_50km,-421.195797107575,84.10955617738922,31796,182280,-631.6559256841548,-210.46012857657976
2019,2022,3,0_5km,gt_50km,814.1652785306026,325.05533413714664,358,182280,449.9725430839072,-364.1927354466954
2019,2022,3,5_10km,gt_50km,-2.868008541574909,292.09885875349835,1278,182280,-367.0607439882703,-364.1927354466954
2019,2022,3,10_25km,gt_50km,261.6497706060779,133.01893333356472,9490,182280,-102.5429648406175,-364.1927354466954
2019,2022,3,25_50km,gt_50km,193.07509520560146,90.1614273254008,31796,182280,-171.11764024109394,-364.1927354466954
2019,2023,4,0_5km,gt_50km,2257.1309476910096,565.6417744099076,358,182280,1654.749215275362,-602.3817324156474
2019,2023,4,5_10km,gt_50km,1620.524502282322,400.93353377012625,1278,182280,1018.1427698666746,-602.3817324156474
