covariate_set,group,time,att,se
none,2020,2019,-126.4581214261865,109.23713431585035
none,2020,2020,-247.53767720988347,103.74635256069197
none,2020,2021,217.67509274145561,93.45366776450089
none,2020,2022,478.86937745061675,97.78031909265579
none,2020,2023,332.7184955056203,70.68156815261362
none,2020,2024,798.303818401205,87.27558913725916
none,2020,2025,491.6658673817541,72.43597883879595
none,2021,2002,-232.2270200143982,231.74769050719644
none,2021,2003,-399.92326456423837,219.41830984765684
none,2021,2004,2042.820359841547,350.0785340003893
none,2021,2005,-1380.6617498550518,364.543210394475
none,2021,2006,192.82997977911512,254.49476285255548
none,2021,2007,-832.2115228413903,234.0964699765692
none,2021,2008,-528.9830963551967,186.39622763141557
none,2021,2009,1052.0226221919793,215.9684287555835
none,2021,2010,-564.5320111165732,194.45572187510956
none,2021,2011,478.7231744553448,180.26371636422567
none,2021,2012,739.3794417871462,226.4079852227892
none,2021,2013,-1880.942381933576,233.30124077830757
none,2021,2014,166.99038557039995,133.38359183046038
none,2021,2015,113.02949314345659,168.06648953245556
none,2021,2016,-148.61157539897783,185.38194015775642
none,2021,2017,1118.2882990749567,269.08646030966804
none,2021,2018,-1239.496254519433,289.96532081252263
none,2021,2019,-159.13566053848632,186.46692569623775
none,2021,2020,-696.9564731072917,146.38256788585053
none,2021,2021,565.1106921083458,154.45143438934795
none,2021,2022,759.0184236764252,164.63465762763036
none,2021,2023,1446.9181411764039,181.26915594773934
none,2021,2024,1252.432122947902,158.12867609346384
none,2021,2025,1340.3970161163024,211.57646134798884
none,2024,2002,-1069.8893043570506,90.79695490199988
none,2024,2003,1129.3570769258972,72.71478641021609
none,2024,2004,-809.7030978580245,101.82595892208435
none,2024,2005,326.7941488874509,96.28886119756653
none,2024,2006,213.40295165469394,92.56511329589361
none,2024,2007,-414.6648003883384,100.7063575322077
none,2024,2008,-626.5291591493182,91.76664063910405
none,2024,2009,841.0021706294049,80.542795639464
none,2024,2010,125.8060109788579,84.77664504750908
none,2024,2011,-524.9461956431426,70.82328547151302
none,2024,2012,520.7710012247207,68.7821223182659
none,2024,2013,-886.5792388807353,64.79335699224428
none,2024,2014,70.6267617198111,56.99599087815585
none,2024,2015,159.3393060269308,72.77405543210837
none,2024,2016,184.74830925622484,100.92332082855776
none,2024,2017,7.363609120959268,120.20011844685389
none,2024,2018,-867.1305790153299,99.06996736664186
none,2024,2019,-23.25907490284584,66.54539367794749
none,2024,2020,-393.61595736286756,64.25220097705024
none,2024,2021,468.2579776403637,69.29547609743469
none,2024,2022,216.56586252625465,60.351800843290086
none,2024,2023,579.6006550145476,69.85975074906676
none,2024,2024,-374.2373799795597,67.54767270568765
none,2024,2025,-328.23586280163994,72.25277242769496
none,2025,2002,-136.90407901994377,241.63153385834423
none,2025,2003,401.54623120451924,220.6621821665886
none,2025,2004,752.9655719855181,217.96893033924914
none,2025,2005,-375.65890858027126,237.5050269008642
none,2025,2006,1162.624707053535,290.2877829061184
none,2025,2007,-1368.0617431785713,330.95615140051626
none,2025,2008,-324.9301364189588,306.97237273228217
none,2025,2009,327.06109929017356,243.80418902447877
none,2025,2010,449.36594015315217,244.40370067917277
none,2025,2011,297.24198956818617,284.8065365895192
none,2025,2012,-786.4795282689338,258.9273426150923
none,2025,2013,-1609.4875333171399,219.84465973610406
none,2025,2014,359.1821508597738,189.8372972957128
none,2025,2015,114.872456313594,148.39149043180169
none,2025,2016,1015.5702246713857,215.09323262603755
none,2025,2017,712.7717514548137,292.99274142328915
none,2025,2018,-17.47819043946606,300.9368427067638
none,2025,2019,-680.6921723283742,328.29334363757715
none,2025,2020,-256.7053244181254,295.5788344577555
none,2025,2021,-384.0926123683405,258.43211519194494
none,2025,2022,399.31345638534333,304.2814417688399
none,2025,2023,-306.2071071389365,290.0853343333685
none,2025,2024,-976.7748879702561,175.71192652822592
none,2025,2025,536.2800466041841,162.0704010019571
