group,time,event_time,att_no_covariate_recomputed,spatial_hac_se,hac_n_units,hac_n_pairs_used,hac_truncated,hac_cutoff_km,hac_kernel
2011,2022,11,-1487.0871135039379,124.10152157550354,377300,50000000,True,25,bartlett
2011,2023,12,-1136.2188559797937,117.53849054098399,377300,50000000,True,25,bartlett
2011,2024,13,-1128.1547293627098,131.5992348391901,377300,50000000,True,25,bartlett
2011,2025,14,-893.4762707902476,131.2133118168555,377300,50000000,True,25,bartlett
2012,2002,-10,-677.4885037061092,132.02150076496523,366002,50000000,True,25,bartlett
2012,2003,-9,1097.0043807957231,302.36270790738297,366002,50000000,True,25,bartlett
2012,2004,-8,-131.3601184677333,206.00741277811167,366002,50000000,True,25,bartlett
2012,2005,-7,656.9615228257802,333.71562338329005,366002,50000000,True,25,bartlett
2012,2006,-6,135.34991676240256,166.21960996458932,366002,50000000,True,25,bartlett
2012,2007,-5,-447.8319815756903,191.62107606982988,366002,50000000,True,25,bartlett
2012,2008,-4,-173.33140063572324,182.30669352887273,366002,50000000,True,25,bartlett
2012,2009,-3,491.94646002300857,345.2184615683503,366002,50000000,True,25,bartlett
2012,2010,-2,481.656676451155,227.43337936830665,366002,50000000,True,25,bartlett
2012,2011,-1,0.0,0.0,366002,50000000,True,25,bartlett
2012,2012,0,-184.60423525422192,163.926897700671,366002,50000000,True,25,bartlett
2012,2013,1,-523.0286091677964,128.30884396740663,366002,50000000,True,25,bartlett
2012,2014,2,-708.7915849783964,155.89576452215195,366002,50000000,True,25,bartlett
2012,2015,3,63.40472017784042,224.20266865687844,366002,50000000,True,25,bartlett
2012,2016,4,-696.3740984656274,280.3938834148461,366002,50000000,True,25,bartlett
2012,2017,5,-899.421327391075,313.8005267942356,366002,50000000,True,25,bartlett
2012,2018,6,-33.820820454912564,423.6868130636354,366002,50000000,True,25,bartlett
2012,2019,7,-304.7790828588372,378.2500162050901,366002,50000000,True,25,bartlett
2012,2020,8,-1197.498093135422,209.820877203541,366002,50000000,True,25,bartlett
2012,2021,9,-455.9152264500264,264.62181994395536,366002,50000000,True,25,bartlett
2012,2022,10,-945.654153929061,163.49275270129885,366002,50000000,True,25,bartlett
2012,2023,11,-135.95792519236025,200.48731512051972,366002,50000000,True,25,bartlett
2012,2024,12,-172.3783818652322,210.26062555402248,366002,50000000,True,25,bartlett
2012,2025,13,-165.44577804874496,248.96906882995572,366002,50000000,True,25,bartlett
2013,2002,-11,-469.7041249298564,168.8283723926515,366835,50000000,True,25,bartlett
